# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
#
# Concordance from the 23 MIRCA-OS v2 base crops (Kebede et al. 2025, HydroShare
# resource e4582ca0042148338bb5e0148b749ed6) to GLADE model crops
# (config["crops"]). Used by workflow/scripts/derive_mirca_multicropping.py to
# attribute MIRCA extra-cycle harvested area to the sequences listed in
# data/curated/mirca_os_multicropping_combinations.yaml.
#
# Columns:
#   mirca_crop  - exact MIRCA-OS crop label as it appears in the annual
#                 harvested-area GeoTIFF filenames
#                 (MIRCA-OS_{mirca_crop}_{year}_{ir,rf}_v2.tif).
#   glade_crop  - target crop in config["crops"], or blank to DROP the crop from
#                 baseline attribution (its extra-cycle area stays on the bulk
#                 land-correction residual). Perennials, long-duration / semi-
#                 perennial crops, aggregate "Others" classes, fodder, and
#                 unmappable aggregates are dropped by design (see the note).
#
# Every MIRCA-OS base crop appears here exactly once so the mapping is
# exhaustive and validated fail-fast (workflow/validation/multi_cropping.py).
mirca_crop,glade_crop,note
Barley,barley,
Cassava,cassava,long-duration root crop; mapped for completeness but absent from the curated sequence catalog
Cocoa,,dropped: perennial tree crop
Coffee,,dropped: perennial tree crop
Cotton,cotton,
Fodder,,dropped: fodder aggregate not represented as a discrete GLADE crop cycle
Groundnuts,groundnut,
Maize,maize,
Millet,pearl-millet,MIRCA aggregates millet into one class; mapped to the globally dominant pearl-millet (GLADE also models foxtail-millet)
Oil palm,,dropped: perennial tree crop
Others annual,,dropped: unmappable aggregate of minor annuals
Others perennial,,dropped: unmappable aggregate of perennials
Potatoes,white-potato,
Pulses,,dropped: MIRCA aggregates six-plus GLADE pulses into one class with no clean 1:1 target; rice-pulse rotations remain on the residual until a pulse split is added
Rapeseed,rapeseed,
Rice,wetland-rice,MIRCA "Rice" is predominantly paddy; mapped to wetland-rice consistent with the existing multiple_cropping config and the wetland-rice zone-cycle accounting
Rye,rye,
Sorghum,sorghum,
Soybeans,soybean,
Sugar beet,sugarbeet,
Sugar cane,,dropped: long-duration semi-perennial (ratoon) crop; not a sequential single-year cycle
Sunflower,sunflower,
Wheat,wheat,
